uuid,start_date,enumerator_id,region,type,name,current_value,value,issue_id,issue,other_text,checked_by,checked_date,comment,reviewed,adjust_log,so_sm_choices,sheet,index
3f799759-8a9c-4ca2-97f7-fc79df7c9b45,2024-04-21T00:00:00Z,enum_15,ET05,remove_survey,,,,more_survey_time,192 min taken to do the survey,,TKC,2024-04-22T00:00:00Z,,,,,,
cbe89274-b905-43c8-8daf-1544e3caa513,2024-04-21T00:00:00Z,enum_15,ET05,remove_survey,,,,less_survey_time,18 min taken to do the survey,,TKC,2024-04-22T00:00:00Z,there is no female gendar specific question,,,,,
04a6a34b-95a0-4a62-92cd-d75ef6ff0f85,2024-04-21T00:00:00Z,enum_15,ET05,remove_survey,,,,less_survey_time,12 min taken to do the survey,,TKC,2024-04-22T00:00:00Z,there is no female gendar specific question,,,,,
0d7b0d2d-4013-4c5e-98a4-fc43a9791262,2024-04-21T00:00:00Z,enum_10,ET05,remove_survey,,,,more_survey_time,193 min taken to do the survey,,TKC,2024-04-22T00:00:00Z,,,,,,
b6b2a33d-2ef5-4fde-b984-0ef9eabfcaa5,2024-04-21T00:00:00Z,enum_17,ET05,remove_survey,,,,more_survey_time,143 min taken to do the survey,,TKC,2024-04-22T00:00:00Z,they edit and check the update on the question ofamount of water in Liter,,,,,
c01d28d8-c461-4ed5-8d70-6ded49c6db14,2024-04-21T00:00:00Z,enum_17,ET05,remove_survey,,,,more_survey_time,340 min taken to do the survey,,TKC,2024-04-22T00:00:00Z,they edit and check the update on the question ofamount of water in Liter,,,,,
98df5613-a588-46ed-ba80-d0e739c11ff6,2024-04-21T00:00:00Z,enum_17,ET05,remove_survey,,,,more_survey_time,306 min taken to do the survey,,TKC,2024-04-22T00:00:00Z,they edit and check the update on the question ofamount of water in Liter,,,,,
6d687dba-dfd5-411e-b0bf-851c11b22e47,2024-04-21T00:00:00Z,enum_10,ET05,remove_survey,,,,more_survey_time,266 min taken to do the survey,,TKC,2024-04-22T00:00:00Z,they edit and check the update on the question ofamount of water in Liter,,,,,
bcddd2e7-8e12-4d66-b126-25e06ed0b6ed,2024-04-21T00:00:00Z,enum_10,ET05,remove_survey,,,,more_survey_time,176 min taken to do the survey,,TKC,2024-04-22T00:00:00Z,they edit and check the update on the question ofamount of water in Liter,,,,,
761f85a5-1189-463d-8df3-dc79f6309606,2024-04-20T00:00:00Z,enum_19,ET05,remove_survey,,,,more_survey_time,427 min taken to do the survey,,TKC,2024-04-22T00:00:00Z,they edit and check the update on the question ofamount of water in Liter,,,,,
b2e666f1-d6ed-4b4c-9a37-2db5ceb3830d,2024-04-20T00:00:00Z,enum_19,ET05,remove_survey,,,,more_survey_time,351 min taken to do the survey,,TKC,2024-04-22T00:00:00Z,technical errors,,,,,
695a4518-9578-439b-a47a-76651a4886e6,2024-04-20T00:00:00Z,enum_07,ET05,remove_survey,,,,more_survey_time,262 min taken to do the survey,,TKC,2024-04-22T00:00:00Z,,,,,,
ef872eb3-885b-4bf9-94f9-bea104bb9e60,2024-04-20T00:00:00Z,enum_18,ET05,remove_survey,,,,more_survey_time,141 min taken to do the survey,,TKC,2024-04-22T00:00:00Z,,,,,,
4cb2bc05-e46c-4986-b618-55aa6c32fce0,2024-04-21T00:00:00Z,enum_16,ET05,remove_survey,,,,more_survey_time,561 min taken to do the survey,,TKC,2024-04-22T00:00:00Z,,,,,,
9fc7c9b6-cc22-4f44-bcb6-774795c0bb88,2024-04-21T00:00:00Z,enum_16,ET05,remove_survey,,,,more_survey_time,540 min taken to do the survey,,TKC,2024-04-22T00:00:00Z,,,,,,
2b911a00-6ab3-4f7b-b97a-c0d714987a6a,2024-04-21T00:00:00Z,enum_16,ET05,remove_survey,,,,more_survey_time,502 min taken to do the survey,,TKC,2024-04-22T00:00:00Z,,,,,,
4462d127-5ac8-4555-bd44-ed2f93835f72,2024-04-21T00:00:00Z,enum_16,ET05,remove_survey,,,,more_survey_time,488 min taken to do the survey,,TKC,2024-04-22T00:00:00Z,,,,,,
fe3c07cf-ebe0-4816-828a-900768ae3e7c,2024-04-21T00:00:00Z,enum_16,ET05,remove_survey,,,,more_survey_time,479 min taken to do the survey,,TKC,2024-04-22T00:00:00Z,,,,,,
1b0b511e-a8be-4b30-b21f-b2c37e489106,2024-04-21T00:00:00Z,enum_14,ET05,remove_survey,,,,more_survey_time,688 min taken to do the survey,,TKC,2024-04-22T00:00:00Z,,,,,,
2238e28a-37c1-44fc-beb4-f5c83a14bf39,2024-04-21T00:00:00Z,enum_14,ET05,remove_survey,,,,more_survey_time,389 min taken to do the survey,,TKC,2024-04-22T00:00:00Z,,,,,,
d2b656e0-7c7f-45e4-b994-ba232a721d94,2024-04-21T00:00:00Z,enum_14,ET05,remove_survey,,,,more_survey_time,343 min taken to do the survey,,TKC,2024-04-22T00:00:00Z,,,,,,
d76018a6-effa-4dbd-9b9f-24c25fcd4cbe,2024-04-21T00:00:00Z,enum_14,ET05,remove_survey,,,,more_survey_time,356 min taken to do the survey,,TKC,2024-04-22T00:00:00Z,,,,,,
93e740ae-7d84-4236-8829-d8db6c74478e,2024-04-21T00:00:00Z,enum_14,ET05,remove_survey,,,,more_survey_time,310 min taken to do the survey,,TKC,2024-04-22T00:00:00Z,,,,,,
d9cc6c3e-3bf9-4e4a-9223-8052efc7bd1c,2024-04-21T00:00:00Z,enum_20,ET05,remove_survey,,,,more_survey_time,139 min taken to do the survey,,TKC,2024-04-22T00:00:00Z,,,,,,
