variable,variable_val,mean/pct,mean/pct_low,mean/pct_upp,n_unweighted,population,subset_1_val,subset_1_name,level
region,Somali,0.22954545454545452,0.2017062465710268,0.25738466251988223,202,refugee,,,Household
region,Tigray,0.7704545454545454,0.7426153374801177,0.7982937534289731,678,refugee,,,Household
zone,ET0102,0.7681818181818182,0.7402464258255965,0.7961172105380399,676,refugee,,,Household
zone,ET0105,0.0022727272727272726,-8.795804036443233e-4,0.0054250349490988685,2,refugee,,,Household
zone,ET0506,0.22954545454545452,0.2017062465710268,0.25738466251988223,202,refugee,,,Household
woreda,ET010207,0.05568181818181818,0.040502058514049484,0.07086157784958688,49,refugee,,,Household
woreda,ET010209,0.7124999999999999,0.6825387192057673,0.7424612807942326,627,refugee,,,Household
woreda,ET010501,0.0011363636363636363,-0.0010939235092660704,0.003366650781993343,1,refugee,,,Household
woreda,ET010504,0.0011363636363636363,-0.0010939235092660708,0.0033666507819933435,1,refugee,,,Household
woreda,ET050608,0.22954545454545452,0.2017062465710268,0.25738466251988223,202,refugee,,,Household
hoh,no,0.18069584736251404,0.1553830138290156,0.20600868089601249,161,refugee,,,Household
hoh,yes,0.819304152637486,0.7939913191039876,0.8446169861709845,730,refugee,,,Household
,hh_age,43.558904109589044,42.41450172844797,44.703306490730114,730,refugee,,,Household
,hoh_no,47,44.580124399004156,49.419875600995844,161,refugee,,,Household
hoh_gender,female,0.5438356164383562,0.5076241042912316,0.5800471285854808,397,refugee,,,Household
hoh_gender,male,0.45616438356164385,0.41995287141451926,0.49237589570876844,333,refugee,,,Household
hoh_no_gender,female,0.09316770186335403,0.04790165747781029,0.13843374624889776,15,refugee,,,Household
hoh_no_gender,male,0.9068322981366459,0.8615662537511022,0.9520983425221896,146,refugee,,,Household
hoh_no_marital_status,divorced,0.08767123287671233,0.06710965721268713,0.10823280854073752,64,refugee,,,Household
hoh_no_marital_status,married,0.6616438356164384,0.6272443987805347,0.696043272452342,483,refugee,,,Household
hoh_no_marital_status,separated,0.049315068493150684,0.03357305514681043,0.06505708183949094,36,refugee,,,Household
hoh_no_marital_status,single,0.08356164383561644,0.06344260323544507,0.10368068443578782,61,refugee,,,Household
hoh_no_marital_status,widowed,0.1178082191780822,0.09437017060516106,0.14124626775100332,86,refugee,,,Household
hoh_marital_status,divorced,0.006211180124223602,-0.006024003141217264,0.018446363389664468,1,refugee,,,Household
hoh_marital_status,married,0.9751552795031055,0.9509154082175505,0.9993951507886606,157,refugee,,,Household
hoh_marital_status,single,0.012422360248447204,-0.004826644728901847,0.029671365225796255,2,refugee,,,Household
hoh_marital_status,widowed,0.006211180124223602,-0.006024003141217253,0.018446363389664457,1,refugee,,,Household
hh_education,dwta,0.0013698630136986301,-0.0013191509335711382,0.004058876960968398,1,refugee,,,Household
hh_education,no,0.5835616438356165,0.5477214060799078,0.6194018815913251,426,refugee,,,Household
hh_education,yes,0.41506849315068495,0.3792452795659641,0.4508917067354058,303,refugee,,,Household
hh_occupation,farmer,0.5135135135135135,0.4805760768575483,0.5464509501694786,456,refugee,,,Household
hh_occupation,govt_worker,0.015765765765765764,0.007556860632269985,0.023974670899261544,14,refugee,,,Household
hh_occupation,health_worker,0.0022522522522522522,-8.716494615904125e-4,0.0053761539660949174,2,refugee,,,Household
hh_occupation,labourer,0.15202702702702703,0.12836620248932218,0.17568785156473188,135,refugee,,,Household
hh_occupation,no_occupation,0.23986486486486486,0.21172596002796545,0.26800376970176426,213,refugee,,,Household
hh_occupation,private_business,0.0011261261261261261,-0.0010840521836171701,0.003336304435869422,1,refugee,,,Household
hh_occupation,religious_leader,0.00563063063063063,6.996777040052431e-4,0.010561583557256018,5,refugee,,,Household
hh_occupation,small_shop,0.05405405405405406,0.03915269894645754,0.06895540916165058,48,refugee,,,Household
hh_occupation,teacher,0.012387387387387387,0.005098493263373282,0.019676281511401494,11,refugee,,,Household
hh_occupation,trader,0.0033783783783783786,-4.454444824074509e-4,0.007202201239164208,3,refugee,,,Household
,hh_size,4.260381593714927,4.131085648518789,4.389677538911065,891,refugee,,,Household
hh_situation,hh_host_idp,0.004489337822671156,9.130768997571339e-5,0.008887367955366599,4,refugee,,,Household
hh_situation,hh_host_returnee,0.001122334455667789,-0.0010803962118646985,0.0033250651232002767,1,refugee,,,Household
hh_situation,host,0.8799102132435467,0.8585248655724617,0.9012955609146317,784,refugee,,,Household
hh_situation,idp,0.10774410774410775,0.08734620222576668,0.12814201326244884,96,refugee,,,Household
hh_situation,none,0.001122334455667789,-0.0010803962118647605,0.0033250651232003387,1,refugee,,,Household
hh_situation,returnee,0.0056116722783389455,6.972976734326659e-4,0.010526046883245224,5,refugee,,,Household
hh_region,ET01,1,1,1,96,refugee,,,Household
hh_zone,ET0101,0.05208333333333333,0.007037137381784277,0.09712952928488239,5,refugee,,,Household
hh_zone,ET0102,0.10416666666666666,0.042236585532106484,0.16609674780122682,10,refugee,,,Household
hh_zone,ET0104,0.010416666666666666,-0.010166596464996217,0.03099992979832955,1,refugee,,,Household
hh_zone,ET0105,0.8333333333333333,0.7577793426645121,0.9088873240021544,80,refugee,,,Household
hh_woreda,ET010101,0.010416666666666666,-0.010166596464996213,0.030999929798329544,1,refugee,,,Household
hh_woreda,ET010102,0.010416666666666666,-0.01016659646499621,0.030999929798329544,1,refugee,,,Household
hh_woreda,ET010106,0.010416666666666666,-0.010166596464996213,0.030999929798329544,1,refugee,,,Household
hh_woreda,ET010107,0.020833333333333332,-0.008122185289054416,0.04978885195572108,2,refugee,,,Household
hh_woreda,ET010209,0.09375,0.034657372028197644,0.15284262797180237,9,refugee,,,Household
hh_woreda,ET010213,0.010416666666666666,-0.01016659646499621,0.030999929798329544,1,refugee,,,Household
hh_woreda,ET010407,0.010416666666666666,-0.010166596464996217,0.03099992979832955,1,refugee,,,Household
hh_woreda,ET010501,0.41666666666666663,0.316718131732569,0.5166152016007642,40,refugee,,,Household
hh_woreda,ET010504,0.20833333333333331,0.12600028080668185,0.2906663858599848,20,refugee,,,Household
hh_woreda,ET010505,0.08333333333333333,0.02730099420411832,0.13936567246254833,8,refugee,,,Household
hh_woreda,ET010506,0.0625,0.01342624354263141,0.11157375645736858,6,refugee,,,Household
hh_woreda,ET010507,0.010416666666666666,-0.010166596464996213,0.030999929798329544,1,refugee,,,Household
hh_woreda,ET010509,0.05208333333333333,0.007037137381784311,0.09712952928488235,5,refugee,,,Household
current_location_reason,dwta,0.009433962264150943,-0.009193854445132077,0.02806177897343396,1,refugee,,,Household
current_location_reason,economic_opportunities,0.02830188679245283,-0.0036536815582288856,0.06025745514313455,3,refugee,,,Household
current_location_reason,presence_of_family,0.8490566037735848,0.7800725752762521,0.9180406322709176,90,refugee,,,Household
current_location_reason,security,0.11320754716981132,0.052152459909360196,0.17426263443026246,12,refugee,,,Household
hh_movement_plan,no,0.46875,0.3675818593402163,0.5699181406597837,45,refugee,,,Household
hh_movement_plan,unable_to_confirm,0.22916666666666666,0.14395881343162859,0.31437451990170473,22,refugee,,,Household
hh_movement_plan,yes,0.3020833333333333,0.2089963784448415,0.3951702882218251,29,refugee,,,Household
hh_movement_plan_yes,different_kebele,0.13793103448275862,0.006691967805848742,0.2691701011596685,4,refugee,,,Household
hh_movement_plan_yes,different_woreda,0.1724137931034483,0.02864859861371205,0.3161789875931845,5,refugee,,,Household
hh_movement_plan_yes,different_zone,0.20689655172413793,0.05272555633696266,0.36106754711131317,6,refugee,,,Household
hh_movement_plan_yes,elsewhere_in_country,0.06896551724137931,-0.027475107061879195,0.1654061415446378,2,refugee,,,Household
hh_movement_plan_yes,place_of_origin,0.41379310344827586,0.22634622310789293,0.6012399837886588,12,refugee,,,Household
hh_reason_for_planned_move,cost_of_living,0.034482758620689655,-0.0349624279239758,0.10392794516535511,1,refugee,,,Household
hh_reason_for_planned_move,education_reason,0.034482758620689655,-0.034962427923975775,0.10392794516535508,1,refugee,,,Household
hh_reason_for_planned_move,employement,0.5517241379310345,0.3624484642319801,0.7409998116300889,16,refugee,,,Household
hh_reason_for_planned_move,household_has_land_there,0.13793103448275862,0.00669196780584877,0.26917010115966844,4,refugee,,,Household
hh_reason_for_planned_move,lack_of_food_in_current_location,0.10344827586206896,-0.0124589294589834,0.21935548118312131,3,refugee,,,Household
hh_reason_for_planned_move,proximity_to_place_of_origin,0.06896551724137931,-0.02747510706187918,0.16540614154463779,2,refugee,,,Household
hh_reason_for_planned_move,reasons_reason,0.06896551724137931,-0.02747510706187918,0.16540614154463779,2,refugee,,,Household
pregnant_lac_women,no,0.5980926430517711,0.5625451631032766,0.6336401230002656,439,refugee,,,Household
pregnant_lac_women,yes,0.4019073569482289,0.3663598769997344,0.4374548368967234,295,refugee,,,Household
,pregnant_lac_women_yes,0.9966101694915254,0.9850549939556856,1.008165345027365,295,refugee,,,Household
difficulty_seeing,a_lot_of_difficulty,0.06060606060606061,0.04490872281739063,0.07630339839473058,54,refugee,,,Household
difficulty_seeing,cannot_do_at_all,0.006734006734006735,0.0013536179891770828,0.012114395478836387,6,refugee,,,Household
difficulty_seeing,no_difficulty,0.8237934904601572,0.7987286900240232,0.8488582908962911,734,refugee,,,Household
difficulty_seeing,some_difficulty,0.10886644219977554,0.08837547239592407,0.12935741200362702,97,refugee,,,Household
difficulty_hearing,a_lot_of_difficulty,0.031425364758698095,0.019947772073647858,0.042902957443748335,28,refugee,,,Household
difficulty_hearing,cannot_do_at_all,0.0056116722783389455,6.972976734326659e-4,0.010526046883245224,5,refugee,,,Household
difficulty_hearing,no_difficulty,0.8843995510662178,0.8633642798423387,0.905434822290097,788,refugee,,,Household
difficulty_hearing,some_difficulty,0.07856341189674523,0.060862852425955724,0.09626397136753474,70,refugee,,,Household
difficulty_walking,a_lot_of_difficulty,0.07070707070707072,0.053843410683941495,0.08757073073019994,63,refugee,,,Household
difficulty_walking,cannot_do_at_all,0.007856341189674524,0.0020481413900359747,0.013664540989313072,7,refugee,,,Household
difficulty_walking,no_difficulty,0.8271604938271606,0.8022856421785972,0.852035345475724,737,refugee,,,Household
difficulty_walking,some_difficulty,0.09427609427609429,0.07505213643483774,0.11350005211735084,84,refugee,,,Household
difficulty_remembering,a_lot_of_difficulty,0.019079685746352416,0.010079601556644882,0.02807976993605995,17,refugee,,,Household
