Question,variable,choices/options,Results(mean/percentage),n_unweighted,population,subset_1_name,subset_1_val,select_type,level
In which region does the interview take place?,region,Somali,0.23,202,refugee,,,select_one,Household
In which region does the interview take place?,region,Tigray,0.77,678,refugee,,,select_one,Household
In which zone does the interview take place?,zone,ET0102,0.77,676,refugee,,,select_one,Household
In which zone does the interview take place?,zone,ET0105,0,2,refugee,,,select_one,Household
In which zone does the interview take place?,zone,ET0506,0.23,202,refugee,,,select_one,Household
In which woreda does the interview take place?,woreda,ET010207,0.06,49,refugee,,,select_one,Household
In which woreda does the interview take place?,woreda,ET010209,0.71,627,refugee,,,select_one,Household
In which woreda does the interview take place?,woreda,ET010501,0,1,refugee,,,select_one,Household
In which woreda does the interview take place?,woreda,ET010504,0,1,refugee,,,select_one,Household
In which woreda does the interview take place?,woreda,ET050608,0.23,202,refugee,,,select_one,Household
Are you the head of the household?,hoh,no,0.18,161,refugee,,,select_one,Household
Are you the head of the household?,hoh,yes,0.82,730,refugee,,,select_one,Household
What is the age of the respondent?,hh_age,hh_age,43.56,730,refugee,,,integer,Household
What is the age of the household head?,hoh_no,hoh_no,47,161,refugee,,,integer,Household
What is the gender of the respondent?,hoh_gender,female,0.54,397,refugee,,,select_one,Household
What is the gender of the respondent?,hoh_gender,male,0.46,333,refugee,,,select_one,Household
What is the gender of the household head?,hoh_no_gender,female,0.09,15,refugee,,,select_one,Household
What is the gender of the household head?,hoh_no_gender,male,0.91,146,refugee,,,select_one,Household
What is the marital status of the respondent?,hoh_no_marital_status,divorced,0.09,64,refugee,,,select_one,Household
What is the marital status of the respondent?,hoh_no_marital_status,married,0.66,483,refugee,,,select_one,Household
What is the marital status of the respondent?,hoh_no_marital_status,separated,0.05,36,refugee,,,select_one,Household
What is the marital status of the respondent?,hoh_no_marital_status,single,0.08,61,refugee,,,select_one,Household
What is the marital status of the respondent?,hoh_no_marital_status,widowed,0.12,86,refugee,,,select_one,Household
What is the marital status of the household head?,hoh_marital_status,divorced,0.01,1,refugee,,,select_one,Household
What is the marital status of the household head?,hoh_marital_status,married,0.98,157,refugee,,,select_one,Household
What is the marital status of the household head?,hoh_marital_status,single,0.01,2,refugee,,,select_one,Household
What is the marital status of the household head?,hoh_marital_status,widowed,0.01,1,refugee,,,select_one,Household
Do you have any formal education?,hh_education,dwta,0,1,refugee,,,select_one,Household
Do you have any formal education?,hh_education,no,0.58,426,refugee,,,select_one,Household
Do you have any formal education?,hh_education,yes,0.42,303,refugee,,,select_one,Household
What is your occupation?,hh_occupation,farmer,0.51,456,refugee,,,select_one,Household
What is your occupation?,hh_occupation,govt_worker,0.02,14,refugee,,,select_one,Household
What is your occupation?,hh_occupation,health_worker,0,2,refugee,,,select_one,Household
What is your occupation?,hh_occupation,labourer,0.15,135,refugee,,,select_one,Household
What is your occupation?,hh_occupation,no_occupation,0.24,213,refugee,,,select_one,Household
What is your occupation?,hh_occupation,private_business,0,1,refugee,,,select_one,Household
What is your occupation?,hh_occupation,religious_leader,0.01,5,refugee,,,select_one,Household
What is your occupation?,hh_occupation,small_shop,0.05,48,refugee,,,select_one,Household
What is your occupation?,hh_occupation,teacher,0.01,11,refugee,,,select_one,Household
What is your occupation?,hh_occupation,trader,0,3,refugee,,,select_one,Household
How many people reside in this household? (including the respondent),hh_size,hh_size,4.26,891,refugee,,,integer,Household
What is the displacement status of your household?,hh_situation,hh_host_idp,0,4,refugee,,,select_one,Household
What is the displacement status of your household?,hh_situation,hh_host_returnee,0,1,refugee,,,select_one,Household
What is the displacement status of your household?,hh_situation,host,0.88,784,refugee,,,select_one,Household
What is the displacement status of your household?,hh_situation,idp,0.11,96,refugee,,,select_one,Household
What is the displacement status of your household?,hh_situation,none,0,1,refugee,,,select_one,Household
What is the displacement status of your household?,hh_situation,returnee,0.01,5,refugee,,,select_one,Household
What is your region of origin?,hh_region,ET01,1,96,refugee,,,select_one,Household
What is your zone of origin?,hh_zone,ET0101,0.05,5,refugee,,,select_one,Household
What is your zone of origin?,hh_zone,ET0102,0.1,10,refugee,,,select_one,Household
What is your zone of origin?,hh_zone,ET0104,0.01,1,refugee,,,select_one,Household
What is your zone of origin?,hh_zone,ET0105,0.83,80,refugee,,,select_one,Household
What is your woreda of origin?,hh_woreda,ET010101,0.01,1,refugee,,,select_one,Household
What is your woreda of origin?,hh_woreda,ET010102,0.01,1,refugee,,,select_one,Household
What is your woreda of origin?,hh_woreda,ET010106,0.01,1,refugee,,,select_one,Household
What is your woreda of origin?,hh_woreda,ET010107,0.02,2,refugee,,,select_one,Household
What is your woreda of origin?,hh_woreda,ET010209,0.09,9,refugee,,,select_one,Household
What is your woreda of origin?,hh_woreda,ET010213,0.01,1,refugee,,,select_one,Household
What is your woreda of origin?,hh_woreda,ET010407,0.01,1,refugee,,,select_one,Household
What is your woreda of origin?,hh_woreda,ET010501,0.42,40,refugee,,,select_one,Household
What is your woreda of origin?,hh_woreda,ET010504,0.21,20,refugee,,,select_one,Household
What is your woreda of origin?,hh_woreda,ET010505,0.08,8,refugee,,,select_one,Household
What is your woreda of origin?,hh_woreda,ET010506,0.06,6,refugee,,,select_one,Household
What is your woreda of origin?,hh_woreda,ET010507,0.01,1,refugee,,,select_one,Household
What is your woreda of origin?,hh_woreda,ET010509,0.05,5,refugee,,,select_one,Household
What was the main reason you chose your current place of settlement?,current_location_reason,dwta,0.01,1,refugee,,,select_one,Household
What was the main reason you chose your current place of settlement?,current_location_reason,economic_opportunities,0.03,3,refugee,,,select_one,Household
What was the main reason you chose your current place of settlement?,current_location_reason,presence_of_family,0.85,90,refugee,,,select_one,Household
What was the main reason you chose your current place of settlement?,current_location_reason,security,0.11,12,refugee,,,select_one,Household
Does your household/do you have concrete plans to move within the next 3 months?,hh_movement_plan,no,0.47,45,refugee,,,select_one,Household
Does your household/do you have concrete plans to move within the next 3 months?,hh_movement_plan,unable_to_confirm,0.23,22,refugee,,,select_one,Household
Does your household/do you have concrete plans to move within the next 3 months?,hh_movement_plan,yes,0.3,29,refugee,,,select_one,Household
Where are you/your household planning to move?,hh_movement_plan_yes,different_kebele,0.14,4,refugee,,,select_one,Household
Where are you/your household planning to move?,hh_movement_plan_yes,different_woreda,0.17,5,refugee,,,select_one,Household
Where are you/your household planning to move?,hh_movement_plan_yes,different_zone,0.21,6,refugee,,,select_one,Household
Where are you/your household planning to move?,hh_movement_plan_yes,elsewhere_in_country,0.07,2,refugee,,,select_one,Household
Where are you/your household planning to move?,hh_movement_plan_yes,place_of_origin,0.41,12,refugee,,,select_one,Household
What is the main reason for this planned move?,hh_reason_for_planned_move,cost_of_living,0.03,1,refugee,,,select_one,Household
What is the main reason for this planned move?,hh_reason_for_planned_move,education_reason,0.03,1,refugee,,,select_one,Household
What is the main reason for this planned move?,hh_reason_for_planned_move,employement,0.55,16,refugee,,,select_one,Household
What is the main reason for this planned move?,hh_reason_for_planned_move,household_has_land_there,0.14,4,refugee,,,select_one,Household
