variable,variable_val,mean/pct,mean/pct_low,mean/pct_upp,n_unweighted,population,subset_1_val,subset_1_name,level
region,Somali,1,1,1,202,refugee,,,Household
zone,ET0506,1,1,1,202,refugee,,,Household
woreda,ET050608,1,1,1,202,refugee,,,Household
hoh,no,0.09405940594059406,0.05345961006150836,0.13465920181967977,19,refugee,,,Household
hoh,yes,0.905940594059406,0.8653407981803203,0.9465403899384917,183,refugee,,,Household
,hh_age,35.14207650273224,33.69370271271179,36.590450292752685,183,refugee,,,Household
,hoh_no,39.05263157894737,34.84772407622047,43.25753908167427,19,refugee,,,Household
hoh_gender,female,0.73224043715847,0.6674968061129296,0.7969840682040104,134,refugee,,,Household
hoh_gender,male,0.2677595628415301,0.20301593179598967,0.3325031938870705,49,refugee,,,Household
hoh_no_gender,female,0.2631578947368421,0.05038994349105222,0.475925845982632,5,refugee,,,Household
hoh_no_gender,male,0.7368421052631579,0.524074154017368,0.9496100565089477,14,refugee,,,Household
hoh_no_marital_status,divorced,0.02185792349726776,4.7814879075156955e-4,0.04323769820378395,4,refugee,,,Household
hoh_no_marital_status,married,0.9234972677595629,0.8846326873412362,0.9623618481778895,169,refugee,,,Household
hoh_no_marital_status,separated,0.01639344262295082,-0.0021736324404958325,0.03496051768639748,3,refugee,,,Household
hoh_no_marital_status,single,0.02185792349726776,4.78148790751573e-4,0.043237698203783946,4,refugee,,,Household
hoh_no_marital_status,widowed,0.01639344262295082,-0.0021736324404958117,0.03496051768639745,3,refugee,,,Household
hoh_marital_status,married,1,1,1,19,refugee,,,Household
hh_education,dwta,0.00546448087431694,-0.00531461431781156,0.01624357606644544,1,refugee,,,Household
hh_education,no,0.8743169398907104,0.8258472185825133,0.9227866611989074,160,refugee,,,Household
hh_education,yes,0.12021857923497267,0.07266634886608506,0.1677708096038603,22,refugee,,,Household
hh_occupation,farmer,0.417910447761194,0.34914026174380136,0.48668063377858667,84,refugee,,,Household
hh_occupation,govt_worker,0.014925373134328358,-0.001981404772630929,0.03183215104128764,3,refugee,,,Household
hh_occupation,labourer,0.3283582089552239,0.2628785396835432,0.3938378782269046,66,refugee,,,Household
hh_occupation,no_occupation,0.2288557213930348,0.17028070887330052,0.28743073391276913,46,refugee,,,Household
hh_occupation,small_shop,0.004975124378109453,-0.00483518318124738,0.014785431937466285,1,refugee,,,Household
hh_occupation,trader,0.004975124378109453,-0.00483518318124738,0.014785431937466285,1,refugee,,,Household
,hh_size,4.49009900990099,4.2277952046096035,4.752402815192377,202,refugee,,,Household
hh_situation,hh_host_idp,0.0049504950495049506,-0.004811071815741871,0.014712061914751773,1,refugee,,,Household
hh_situation,hh_host_returnee,0.0049504950495049506,-0.004811071815741873,0.014712061914751773,1,refugee,,,Household
hh_situation,host,0.9900990099009901,0.9763284531163653,1.003869566685615,200,refugee,,,Household
current_location_reason,dwta,0.5,-4.003482831114691,5.003482831114691,1,refugee,,,Household
current_location_reason,security,0.5,-4.003482831114691,5.003482831114691,1,refugee,,,Household
pregnant_lac_women,no,0.648936170212766,0.5800930347872635,0.7177793056382684,122,refugee,,,Household
pregnant_lac_women,yes,0.35106382978723405,0.2822206943617316,0.4199069652127365,66,refugee,,,Household
,pregnant_lac_women_yes,0.9848484848484849,0.9324398410968923,1.0372571286000773,66,refugee,,,Household
difficulty_seeing,cannot_do_at_all,0.0049504950495049506,-0.004811071815741871,0.014712061914751773,1,refugee,,,Household
difficulty_seeing,no_difficulty,0.9851485148514851,0.9683253124369128,1.0019717172660576,199,refugee,,,Household
difficulty_seeing,some_difficulty,0.009900990099009901,-0.0038695666856149117,0.023671546883634716,2,refugee,,,Household
difficulty_hearing,a_lot_of_difficulty,0.0049504950495049506,-0.004811071815741871,0.014712061914751773,1,refugee,,,Household
difficulty_hearing,no_difficulty,0.9752475247524752,0.9536382784302294,0.996856771074721,197,refugee,,,Household
difficulty_hearing,some_difficulty,0.019801980198019802,4.250892287754743e-4,0.03917887116726413,4,refugee,,,Household
difficulty_walking,a_lot_of_difficulty,0.009900990099009901,-0.0038695666856149204,0.023671546883634723,2,refugee,,,Household
difficulty_walking,no_difficulty,0.9752475247524752,0.9536382784302294,0.996856771074721,197,refugee,,,Household
difficulty_walking,some_difficulty,0.01485148514851485,-0.0019717172660575627,0.031674687563087264,3,refugee,,,Household
difficulty_remembering,a_lot_of_difficulty,0.0049504950495049506,-0.004811071815741871,0.014712061914751773,1,refugee,,,Household
difficulty_remembering,no_difficulty,0.995049504950495,0.9852879380852482,1.004811071815742,201,refugee,,,Household
difficulty_self_care,a_lot_of_difficulty,0.0049504950495049506,-0.004811071815741871,0.014712061914751773,1,refugee,,,Household
difficulty_self_care,no_difficulty,0.9900990099009901,0.9763284531163653,1.003869566685615,200,refugee,,,Household
difficulty_self_care,some_difficulty,0.0049504950495049506,-0.004811071815741874,0.014712061914751776,1,refugee,,,Household
difficulty_communicating,a_lot_of_difficulty,0.0049504950495049506,-0.004811071815741871,0.014712061914751773,1,refugee,,,Household
difficulty_communicating,no_difficulty,0.9900990099009901,0.9763284531163653,1.003869566685615,200,refugee,,,Household
difficulty_communicating,some_difficulty,0.0049504950495049506,-0.004811071815741874,0.014712061914751776,1,refugee,,,Household
drinking_water_source,dk,0.041666666666666664,0.01315068276472026,0.07018265056861307,8,refugee,,,Household
drinking_water_source,dwta,0.005208333333333333,-0.0050635751041047715,0.015480241770771438,1,refugee,,,Household
drinking_water_source,protected_spring,0.005208333333333333,-0.0050635751041047785,0.015480241770771445,1,refugee,,,Household
drinking_water_source,protected_well,0.005208333333333333,-0.0050635751041047455,0.01548024177077141,1,refugee,,,Household
drinking_water_source,river,0.625,0.5559137965651451,0.6940862034348549,120,refugee,,,Household
drinking_water_source,unprotected_spring,0.06770833333333333,0.03185474336083731,0.10356192330582935,13,refugee,,,Household
drinking_water_source,unprotected_well,0.010416666666666666,-0.004071927713738566,0.0249052610470719,2,refugee,,,Household
drinking_water_source,water_trucking,0.23958333333333331,0.17867316501842206,0.30049350164824457,46,refugee,,,Household
cleaning_water_source,dk,0.010416666666666666,-0.004071927713738585,0.024905261047071917,2,refugee,,,Household
cleaning_water_source,protected_spring,0.015625,-0.002073073130100675,0.033323073130100675,3,refugee,,,Household
cleaning_water_source,protected_well,0.005208333333333333,-0.0050635751041047455,0.01548024177077141,1,refugee,,,Household
cleaning_water_source,river,0.6302083333333333,0.561318312611378,0.6990983540552885,121,refugee,,,Household
cleaning_water_source,unprotected_spring,0.08854166666666666,0.048002208397049606,0.1290811249362837,17,refugee,,,Household
cleaning_water_source,unprotected_well,0.010416666666666666,-0.004071927713738561,0.024905261047071893,2,refugee,,,Household
cleaning_water_source,water_trucking,0.23958333333333331,0.17867316501842206,0.30049350164824457,46,refugee,,,Household
water_source_location,elsewhere,0.04950495049504951,0.0193351721736702,0.07967472881642881,10,refugee,,,Household
water_source_location,in_own_dwelling,0.01485148514851485,-0.001971717266057469,0.03167468756308717,3,refugee,,,Household
water_source_location,in_own_yard_plot,0.04455445544554455,0.01585845212045379,0.07325045877063531,9,refugee,,,Household
water_source_location,outside_the_kebele,0.6831683168316832,0.618461351130753,0.7478752825326135,138,refugee,,,Household
water_source_location,within_kebele,0.2079207920792079,0.15147830512244745,0.26436327903596835,42,refugee,,,Household
water_fetch_time,above_31minutes,0.28717948717948716,0.22311859570485681,0.3512403786541175,56,refugee,,,Household
water_fetch_time,below_5minutes,0.020512820512820513,4.4324237635695943e-4,0.04058239864928406,4,refugee,,,Household
water_fetch_time,between_16_and_30_minutes,0.47692307692307695,0.40620456320952514,0.5476415906366288,93,refugee,,,Household
water_fetch_time,between_5_and_15_minutes,0.18461538461538463,0.129681365164455,0.23954940406631425,36,refugee,,,Household
water_fetch_time,dk,0.03076923076923077,0.006318148230835683,0.05522031330762586,6,refugee,,,Household
water_fetch_time2,above_31minutes,0.37435897435897436,0.30583652007382955,0.44288142864411917,73,refugee,,,Household
water_fetch_time2,below_5minutes,0.005128205128205128,-0.004985084138146801,0.015241494394557058,1,refugee,,,Household
water_fetch_time2,between_16_and_30_minutes,0.441025641025641,0.3707258491962455,0.5113254328550365,86,refugee,,,Household
water_fetch_time2,between_5_and_15_minutes,0.14358974358974358,0.09393865032439357,0.19324083685509358,28,refugee,,,Household
water_fetch_time2,dk,0.035897435897435895,0.009557209161124337,0.062237662633747456,7,refugee,,,Household
