variable,split,subset_1
region,all,region
region,all,hh_situation
region,all,i.hh_age
region,all,hoh_gender
zone,all,region
zone,all,hh_situation
zone,all,i.hh_age
zone,all,hoh_gender
woreda,all,region
woreda,all,hh_situation
woreda,all,i.hh_age
woreda,all,hoh_gender
hoh,all,region
hoh,all,hh_situation
hoh,all,i.hh_age
hoh,all,hoh_gender
hh_age,all,region
hh_age,all,hh_situation
hh_age,all,i.hh_age
hh_age,all,hoh_gender
hoh_no,all,region
hoh_no,all,hh_situation
hoh_no,all,i.hh_age
hoh_no,all,hoh_gender
hoh_gender,all,region
hoh_gender,all,hh_situation
hoh_gender,all,i.hh_age
hoh_gender,all,hoh_gender
hoh_no_gender,all,region
hoh_no_gender,all,hh_situation
hoh_no_gender,all,i.hh_age
hoh_no_gender,all,hoh_gender
hoh_no_marital_status,all,region
hoh_no_marital_status,all,hh_situation
hoh_no_marital_status,all,i.hh_age
hoh_no_marital_status,all,hoh_gender
hoh_marital_status,all,region
hoh_marital_status,all,hh_situation
hoh_marital_status,all,i.hh_age
hoh_marital_status,all,hoh_gender
hh_education,all,region
hh_education,all,hh_situation
hh_education,all,i.hh_age
hh_education,all,hoh_gender
hh_occupation,all,region
hh_occupation,all,hh_situation
hh_occupation,all,i.hh_age
hh_occupation,all,hoh_gender
hh_size,all,region
hh_size,all,hh_situation
hh_size,all,i.hh_age
hh_size,all,hoh_gender
hh_situation,all,region
hh_situation,all,hh_situation
hh_situation,all,i.hh_age
hh_situation,all,hoh_gender
hh_region,all,region
hh_region,all,hh_situation
hh_region,all,i.hh_age
hh_region,all,hoh_gender
hh_zone,all,region
hh_zone,all,hh_situation
hh_zone,all,i.hh_age
hh_zone,all,hoh_gender
hh_woreda,all,region
hh_woreda,all,hh_situation
hh_woreda,all,i.hh_age
hh_woreda,all,hoh_gender
displacement_reason,all,region
displacement_reason,all,hh_situation
displacement_reason,all,i.hh_age
displacement_reason,all,hoh_gender
current_location_reason,all,region
current_location_reason,all,hh_situation
current_location_reason,all,i.hh_age
current_location_reason,all,hoh_gender
hh_movement_plan,all,region
hh_movement_plan,all,hh_situation
hh_movement_plan,all,i.hh_age
hh_movement_plan,all,hoh_gender
hh_movement_plan_yes,all,region
hh_movement_plan_yes,all,hh_situation
hh_movement_plan_yes,all,i.hh_age
hh_movement_plan_yes,all,hoh_gender
hh_reason_for_planned_move,all,region
hh_reason_for_planned_move,all,hh_situation
hh_reason_for_planned_move,all,i.hh_age
hh_reason_for_planned_move,all,hoh_gender
ind_age,all,region
ind_age,all,hh_situation
ind_age,all,i.hh_age
ind_age,all,hoh_gender
ind_gender,all,region
ind_gender,all,hh_situation
ind_gender,all,i.hh_age
ind_gender,all,hoh_gender
ind_educational_status,all,region
ind_educational_status,all,hh_situation
ind_educational_status,all,i.hh_age
ind_educational_status,all,hoh_gender
pregnant_lac_women,all,region
pregnant_lac_women,all,hh_situation
pregnant_lac_women,all,i.hh_age
pregnant_lac_women,all,hoh_gender
pregnant_lac_women_yes,all,region
pregnant_lac_women_yes,all,hh_situation
pregnant_lac_women_yes,all,i.hh_age
pregnant_lac_women_yes,all,hoh_gender
difficulty_seeing,all,region
difficulty_seeing,all,hh_situation
difficulty_seeing,all,i.hh_age
difficulty_seeing,all,hoh_gender
difficulty_hearing,all,region
difficulty_hearing,all,hh_situation
difficulty_hearing,all,i.hh_age
difficulty_hearing,all,hoh_gender
difficulty_walking,all,region
difficulty_walking,all,hh_situation
difficulty_walking,all,i.hh_age
difficulty_walking,all,hoh_gender
difficulty_remembering,all,region
difficulty_remembering,all,hh_situation
difficulty_remembering,all,i.hh_age
difficulty_remembering,all,hoh_gender
difficulty_self_care,all,region
difficulty_self_care,all,hh_situation
difficulty_self_care,all,i.hh_age
difficulty_self_care,all,hoh_gender
difficulty_communicating,all,region
difficulty_communicating,all,hh_situation
difficulty_communicating,all,i.hh_age
difficulty_communicating,all,hoh_gender
drinking_water_source,all,region
drinking_water_source,all,hh_situation
drinking_water_source,all,i.hh_age
drinking_water_source,all,hoh_gender
cleaning_water_source,all,region
cleaning_water_source,all,hh_situation
cleaning_water_source,all,i.hh_age
cleaning_water_source,all,hoh_gender
water_source_location,all,region
water_source_location,all,hh_situation
water_source_location,all,i.hh_age
water_source_location,all,hoh_gender
water_fetch_time,all,region
water_fetch_time,all,hh_situation
water_fetch_time,all,i.hh_age
water_fetch_time,all,hoh_gender
water_fetch_time2,all,region
water_fetch_time2,all,hh_situation
water_fetch_time2,all,i.hh_age
water_fetch_time2,all,hoh_gender
water_point_owner,all,region
water_point_owner,all,hh_situation
water_point_owner,all,i.hh_age
water_point_owner,all,hoh_gender
water_source_functional,all,region
water_source_functional,all,hh_situation
water_source_functional,all,i.hh_age
water_source_functional,all,hoh_gender
ws_unfunctionality_reason,all,region
ws_unfunctionality_reason,all,hh_situation
ws_unfunctionality_reason,all,i.hh_age
ws_unfunctionality_reason,all,hoh_gender
ws_unfunctionality_time,all,region
ws_unfunctionality_time,all,hh_situation
ws_unfunctionality_time,all,i.hh_age
ws_unfunctionality_time,all,hoh_gender
ws_when_waterpoint_broken,all,region
ws_when_waterpoint_broken,all,hh_situation
ws_when_waterpoint_broken,all,i.hh_age
ws_when_waterpoint_broken,all,hoh_gender
water_access_challenge,all,region
water_access_challenge,all,hh_situation
water_access_challenge,all,i.hh_age
water_access_challenge,all,hoh_gender
lack_of_water_adapt,all,region
lack_of_water_adapt,all,hh_situation
lack_of_water_adapt,all,i.hh_age
lack_of_water_adapt,all,hoh_gender
access_water_different_in_seasons,all,region
access_water_different_in_seasons,all,hh_situation
access_water_different_in_seasons,all,i.hh_age
access_water_different_in_seasons,all,hoh_gender
challengning_months_to_access_water,all,region
challengning_months_to_access_water,all,hh_situation
challengning_months_to_access_water,all,i.hh_age
challengning_months_to_access_water,all,hoh_gender
quota_to_access_water,all,region
quota_to_access_water,all,hh_situation
quota_to_access_water,all,i.hh_age
quota_to_access_water,all,hoh_gender
num_jerrycan_allowed,all,region
num_jerrycan_allowed,all,hh_situation
num_jerrycan_allowed,all,i.hh_age
num_jerrycan_allowed,all,hoh_gender
difficult_to_collect_water,all,region
difficult_to_collect_water,all,hh_situation
difficult_to_collect_water,all,i.hh_age
difficult_to_collect_water,all,hoh_gender
boys_finds_difficulties_to_collect_water,all,region
boys_finds_difficulties_to_collect_water,all,hh_situation
boys_finds_difficulties_to_collect_water,all,i.hh_age
boys_finds_difficulties_to_collect_water,all,hoh_gender
girls_finds_difficulties_to_collect_water,all,region
girls_finds_difficulties_to_collect_water,all,hh_situation
girls_finds_difficulties_to_collect_water,all,i.hh_age
girls_finds_difficulties_to_collect_water,all,hoh_gender
men_finds_difficulties_to_collect_water,all,region
men_finds_difficulties_to_collect_water,all,hh_situation
men_finds_difficulties_to_collect_water,all,i.hh_age
men_finds_difficulties_to_collect_water,all,hoh_gender
women_finds_difficulties_to_collect_water,all,region
women_finds_difficulties_to_collect_water,all,hh_situation
women_finds_difficulties_to_collect_water,all,i.hh_age
women_finds_difficulties_to_collect_water,all,hoh_gender
elders_finds_difficulties_to_collect_water,all,region
elders_finds_difficulties_to_collect_water,all,hh_situation
elders_finds_difficulties_to_collect_water,all,i.hh_age
elders_finds_difficulties_to_collect_water,all,hoh_gender
disabilities_finds_difficulties_to_collect_water,all,region
disabilities_finds_difficulties_to_collect_water,all,hh_situation
disabilities_finds_difficulties_to_collect_water,all,i.hh_age
disabilities_finds_difficulties_to_collect_water,all,hoh_gender
hh_water_payment,all,region
hh_water_payment,all,hh_situation
hh_water_payment,all,i.hh_age
hh_water_payment,all,hoh_gender
hh_water_payment_amount,all,region
hh_water_payment_amount,all,hh_situation
hh_water_payment_amount,all,i.hh_age
hh_water_payment_amount,all,hoh_gender
hh_water_treatment,all,region
hh_water_treatment,all,hh_situation
hh_water_treatment,all,i.hh_age
hh_water_treatment,all,hoh_gender
felt_unsafe_when_accessing_public_water_source,all,region
felt_unsafe_when_accessing_public_water_source,all,hh_situation
felt_unsafe_when_accessing_public_water_source,all,i.hh_age
felt_unsafe_when_accessing_public_water_source,all,hoh_gender
felt_unsafe_reason,all,region
felt_unsafe_reason,all,hh_situation
felt_unsafe_reason,all,i.hh_age
felt_unsafe_reason,all,hoh_gender
hh_informed_about_water_services_availability,all,region
hh_informed_about_water_services_availability,all,hh_situation
hh_informed_about_water_services_availability,all,i.hh_age
hh_informed_about_water_services_availability,all,hoh_gender
received_information_no_accurte,all,region
received_information_no_accurte,all,hh_situation
received_information_no_accurte,all,i.hh_age
received_information_no_accurte,all,hoh_gender
receive_information_about_water_services,all,region
receive_information_about_water_services,all,hh_situation
receive_information_about_water_services,all,i.hh_age
receive_information_about_water_services,all,hoh_gender
water_info_preference,all,region
water_info_preference,all,hh_situation
water_info_preference,all,i.hh_age
water_info_preference,all,hoh_gender
wash_improvement_needed,all,region
wash_improvement_needed,all,hh_situation
wash_improvement_needed,all,i.hh_age
wash_improvement_needed,all,hoh_gender
wash_improvement_needed2,all,region
wash_improvement_needed2,all,hh_situation
wash_improvement_needed2,all,i.hh_age
wash_improvement_needed2,all,hoh_gender
wash_improvement_needed3,all,region
wash_improvement_needed3,all,hh_situation
wash_improvement_needed3,all,i.hh_age
wash_improvement_needed3,all,hoh_gender
access_health_facilities,all,region
access_health_facilities,all,hh_situation
access_health_facilities,all,i.hh_age
access_health_facilities,all,hoh_gender
operating_health_post,all,region
operating_health_post,all,hh_situation
operating_health_post,all,i.hh_age
operating_health_post,all,hoh_gender
health_post_non_functionality_reason,all,region
health_post_non_functionality_reason,all,hh_situation
health_post_non_functionality_reason,all,i.hh_age
health_post_non_functionality_reason,all,hoh_gender
health_post_services,all,region
health_post_services,all,hh_situation
health_post_services,all,i.hh_age
health_post_services,all,hoh_gender
health_post_location,all,region
health_post_location,all,hh_situation
health_post_location,all,i.hh_age
health_post_location,all,hoh_gender
health_post_located_out_of_kebele,all,region
health_post_located_out_of_kebele,all,hh_situation
health_post_located_out_of_kebele,all,i.hh_age
health_post_located_out_of_kebele,all,hoh_gender
travel_time_to_health_post,all,region
travel_time_to_health_post,all,hh_situation
travel_time_to_health_post,all,i.hh_age
travel_time_to_health_post,all,hoh_gender
health_post_owner,all,region
health_post_owner,all,hh_situation
health_post_owner,all,i.hh_age
health_post_owner,all,hoh_gender
operating_health_centre,all,region
operating_health_centre,all,hh_situation
operating_health_centre,all,i.hh_age
operating_health_centre,all,hoh_gender
health_centre_non_functionality_reason,all,region
health_centre_non_functionality_reason,all,hh_situation
health_centre_non_functionality_reason,all,i.hh_age
health_centre_non_functionality_reason,all,hoh_gender
health_centre_services,all,region
health_centre_services,all,hh_situation
