variable,variable_val,mean/pct,mean/pct_low,mean/pct_upp,n_unweighted,population,subset_1_val,subset_1_name,level
region,Tigray,1,1,1,678,refugee,,,Household
zone,ET0102,0.9970501474926253,0.9929576878468455,1.0011426071384053,676,refugee,,,Household
zone,ET0105,0.0029498525073746312,-0.0011426071384052485,0.007042312153154511,2,refugee,,,Household
woreda,ET010207,0.07227138643067846,0.05273161754503759,0.09181115531631932,49,refugee,,,Household
woreda,ET010209,0.9247787610619469,0.9048759271731975,0.9446815949506963,627,refugee,,,Household
woreda,ET010501,0.0014749262536873156,-0.0014210193116259,0.004370871819000531,1,refugee,,,Household
woreda,ET010504,0.0014749262536873156,-0.0014210193116259004,0.004370871819000532,1,refugee,,,Household
hoh,no,0.20609579100145137,0.1758170949925018,0.23637448701040092,142,refugee,,,Household
hoh,yes,0.7939042089985486,0.763625512989599,0.8241829050074982,547,refugee,,,Household
,hh_age,46.374771480804384,45.00343278760488,47.74611017400389,547,refugee,,,Household
,hoh_no,48.063380281690144,45.41720625298694,50.70955431039335,142,refugee,,,Household
hoh_gender,female,0.48080438756855576,0.4388107683015673,0.5227980068355442,263,refugee,,,Household
hoh_gender,male,0.5191956124314442,0.4772019931644557,0.5611892316984326,284,refugee,,,Household
hoh_no_gender,female,0.07042253521126761,0.027944789592289354,0.11290028083024586,10,refugee,,,Household
hoh_no_gender,male,0.9295774647887324,0.8870997191697542,0.9720552104077106,132,refugee,,,Household
hoh_no_marital_status,divorced,0.10968921389396709,0.08342367184169446,0.13595475594623974,60,refugee,,,Household
hoh_no_marital_status,married,0.5740402193784278,0.5324789267233008,0.6156015120335547,314,refugee,,,Household
hoh_no_marital_status,separated,0.0603290676416819,0.04031733041366977,0.08034080486969403,33,refugee,,,Household
hoh_no_marital_status,single,0.10420475319926874,0.07852553899509654,0.12988396740344094,57,refugee,,,Household
hoh_no_marital_status,widowed,0.15173674588665448,0.12158278976031044,0.1818907020129985,83,refugee,,,Household
hoh_marital_status,divorced,0.007042253521126761,-0.00684076971401711,0.020925276756270633,1,refugee,,,Household
